model,lambda,fold,auc
mean,0.0,0,0.8579545454545454
mean,0.0,1,0.9545454545454546
mean,0.0,2,0.9204545454545454
mean,0.0,3,0.8579545454545455
mean,0.0,4,0.6590909090909091
mean,0.0,5,0.6988636363636364
mean,0.0,6,0.8011363636363636
mean,0.0,7,0.8636363636363636
mean,0.0,8,0.8522727272727273
mean,0.0,9,0.6555555555555557
max,0.0,0,0.9261363636363636
max,0.0,1,0.8920454545454546
max,0.0,2,1.0
max,0.0,3,0.9261363636363636
max,0.0,4,0.7045454545454546
max,0.0,5,0.7897727272727273
max,0.0,6,0.9261363636363636
max,0.0,7,0.9715909090909091
max,0.0,8,0.9715909090909091
max,0.0,9,0.8611111111111112
abmil,0.0,0,0.9261363636363636
abmil,0.0,1,0.9602272727272727
abmil,0.0,2,0.9772727272727273
abmil,0.0,3,0.9886363636363636
abmil,0.0,4,0.7159090909090909
abmil,0.0,5,0.9147727272727273
abmil,0.0,6,0.9431818181818181
abmil,0.0,7,0.9715909090909091
abmil,0.0,8,0.9602272727272727
abmil,0.0,9,0.8777777777777778
transmil,0.0,0,0.9715909090909091
transmil,0.0,1,0.9545454545454546
transmil,0.0,2,0.9943181818181818
transmil,0.0,3,0.9545454545454546
transmil,0.0,4,0.7613636363636364
transmil,0.0,5,0.9204545454545454
transmil,0.0,6,0.9772727272727273
transmil,0.0,7,0.9772727272727273
transmil,0.0,8,0.9943181818181818
transmil,0.0,9,0.8666666666666668
clam,0.0,0,0.9602272727272727
clam,0.0,1,0.9659090909090909
clam,0.0,2,0.9829545454545454
clam,0.0,3,0.9772727272727273
clam,0.0,4,0.7556818181818181
clam,0.0,5,0.9261363636363636
clam,0.0,6,0.9715909090909091
clam,0.0,7,0.9659090909090909
clam,0.0,8,0.9829545454545454
clam,0.0,9,0.9111111111111111
clam,0.05,0,0.9204545454545454
clam,0.05,1,0.9318181818181818
clam,0.05,2,0.9829545454545454
clam,0.05,3,0.9829545454545454
clam,0.05,4,0.7784090909090908
clam,0.05,5,0.9204545454545454
clam,0.05,6,0.875
clam,0.05,7,0.9375
clam,0.05,8,0.9943181818181818
clam,0.05,9,0.8388888888888889
