slide,model,lambda,fold,dice,iou,entropy
test_001,mean,0.0,0,0.0,0.0,0.9999943534977114
test_001,mean,0.0,1,0.0,0.0,0.9999943534977114
test_001,mean,0.0,2,0.0,0.0,0.9999943534977114
test_001,mean,0.0,3,0.0,0.0,0.9999943534977114
test_001,mean,0.0,4,0.0,0.0,0.9999943534977114
test_001,mean,0.0,5,0.0,0.0,0.9999943534977114
test_001,mean,0.0,6,0.0,0.0,0.9999943534977114
test_001,mean,0.0,7,0.0,0.0,0.9999943534977114
test_001,mean,0.0,8,0.0,0.0,0.9999943534977114
test_001,mean,0.0,9,0.0,0.0,0.9999943534977114
test_001,max,0.0,0,0.0,0.0,0.9999943534977114
test_001,max,0.0,1,0.0,0.0,0.9999943534977114
test_001,max,0.0,2,0.0,0.0,0.9999943534977114
test_001,max,0.0,3,0.0,0.0,0.9999943534977114
test_001,max,0.0,4,0.0,0.0,0.9999943534977114
test_001,max,0.0,5,0.0,0.0,0.9999943534977114
test_001,max,0.0,6,0.0,0.0,0.9999943534977114
test_001,max,0.0,7,0.0,0.0,0.9999943534977114
test_001,max,0.0,8,0.0,0.0,0.9999943534977114
test_001,max,0.0,9,0.0,0.0,0.9999943534977114
test_001,abmil,0.0,0,0.7723889255814784,0.6291804804280812,0.5471542245330216
test_001,abmil,0.0,1,0.6096642330554614,0.43850143796220215,0.3264285254874463
test_001,abmil,0.0,2,0.7008800271326824,0.5395036961719201,0.4481975539807417
test_001,abmil,0.0,3,0.6088074115063994,0.4376154793676863,0.46740542823856757
test_001,abmil,0.0,4,0.7345102729333642,0.5804158320873417,0.4984632099684907
test_001,abmil,0.0,5,0.680601917138216,0.5158427361528263,0.41181646779708336
test_001,abmil,0.0,6,0.7191588868460042,0.5614739247986175,0.5013078980881973
test_001,abmil,0.0,7,0.8154799093197194,0.6884475119804696,0.5745395060078881
test_001,abmil,0.0,8,0.8079470198675497,0.6777777777777778,0.5655475629942249
test_001,abmil,0.0,9,0.6472215776226772,0.4784387205742637,0.5028798616936253
test_001,transmil,0.0,0,0.0020349511790221523,0.001018511900507469,0.9840581242655493
test_001,transmil,0.0,1,0.5347280484104175,0.36493433715858975,0.9993654327552729
test_001,transmil,0.0,2,0.0031416790132271825,0.001573310925571666,0.965562577727433
test_001,transmil,0.0,3,0.5736063261991039,0.4021374580767883,0.36168272956993897
test_001,transmil,0.0,4,0.023169882722550474,0.011720725276312937,0.9646541491828244
test_001,transmil,0.0,5,0.07850627443280199,0.04085689866597302,0.9913917370031662
test_001,transmil,0.0,6,0.002177754770532479,0.0010900643316654754,0.9809329135916679
test_001,transmil,0.0,7,0.12763070991235428,0.06816535102772375,0.9915343660349312
test_001,transmil,0.0,8,0.4151657414183967,0.26196161470535234,0.9986045942522297
test_001,transmil,0.0,9,0.013280734010460362,0.0066847562400043125,0.9687602867945357
test_001,clam,0.0,0,0.49038753324646117,0.3248433250561665,0.4478629113196521
test_001,clam,0.0,1,0.8053408543224863,0.6741176822161791,0.29975988442830936
test_001,clam,0.0,2,0.6185180557291016,0.4477206946454414,0.4177096964392088
test_001,clam,0.0,3,0.6485425108441477,0.4798837670056796,0.5059125608097493
test_001,clam,0.0,4,0.7567162314132201,0.6086432160804021,0.4807012163795149
test_001,clam,0.0,5,0.6366898127487907,0.4670175714248304,0.44862806251871507
test_001,clam,0.0,6,0.7313685939201371,0.5765020402420149,0.4915289585198155
test_001,clam,0.0,7,0.699809000196355,0.5382355363958373,0.3641062674201595
test_001,clam,0.0,8,0.8367933453526356,0.7193849364679885,0.5426376197354289
test_001,clam,0.0,9,0.5060245265168419,0.3387100628479939,0.3601092720240596
test_001,clam,0.05,0,0.7595723032434266,0.6123471003022017,0.5974222764630039
test_001,clam,0.05,1,0.8404705378340265,0.7248375873641429,0.5930492590740694
test_001,clam,0.05,2,0.7671408935934739,0.6222453884690007,0.557771856633248
test_001,clam,0.05,3,0.7492547437568055,0.5990466404064623,0.5752138650900904
test_001,clam,0.05,4,0.8216918655504186,0.6973488865323436,0.6088551490487452
test_001,clam,0.05,5,0.7266917762981739,0.5707116020860203,0.5565490804676428
test_001,clam,0.05,6,0.845040252762357,0.7316620815430744,0.5808362676971965
test_001,clam,0.05,7,0.8562503346959176,0.7486343914848457,0.6165898143286449
test_001,clam,0.05,8,0.7562521197408115,0.6080429416154773,0.6200211982323742
test_001,clam,0.05,9,0.821656164652541,0.6972974610676846,0.634529727769103
test_002,mean,0.0,0,0.0,0.0,0.999993401295132
test_002,mean,0.0,1,0.0,0.0,0.999993401295132
test_002,mean,0.0,2,0.0,0.0,0.999993401295132
test_002,mean,0.0,3,0.0,0.0,0.999993401295132
test_002,mean,0.0,4,0.0,0.0,0.999993401295132
test_002,mean,0.0,5,0.0,0.0,0.999993401295132
test_002,mean,0.0,6,0.0,0.0,0.999993401295132
test_002,mean,0.0,7,0.0,0.0,0.999993401295132
test_002,mean,0.0,8,0.0,0.0,0.999993401295132
test_002,mean,0.0,9,0.0,0.0,0.999993401295132
test_002,max,0.0,0,0.0,0.0,0.999993401295132
test_002,max,0.0,1,0.0,0.0,0.999993401295132
test_002,max,0.0,2,0.0,0.0,0.999993401295132
test_002,max,0.0,3,0.0,0.0,0.999993401295132
test_002,max,0.0,4,0.0,0.0,0.999993401295132
test_002,max,0.0,5,0.0,0.0,0.999993401295132
test_002,max,0.0,6,0.0,0.0,0.999993401295132
test_002,max,0.0,7,0.0,0.0,0.999993401295132
test_002,max,0.0,8,0.0,0.0,0.999993401295132
test_002,max,0.0,9,0.0,0.0,0.999993401295132
test_002,abmil,0.0,0,0.2082284162816667,0.11621370612963144,0.3535698333798602
test_002,abmil,0.0,1,0.1845372336931532,0.10164749017053815,0.02103309849956095
test_002,abmil,0.0,2,0.185369271528979,0.10215261354312467,0.13849843410642204
test_002,abmil,0.0,3,0.20038974403888682,0.11135174595449568,0.33749782260492983
test_002,abmil,0.0,4,0.19798121346149636,0.10986634264884569,0.30585390084404224
test_002,abmil,0.0,5,0.21103107004444835,0.11796240086164692,0.2922447518416003
test_002,abmil,0.0,6,0.20354272952201616,0.11330229383516564,0.33633879636701186
test_002,abmil,0.0,7,0.20897287118740557,0.11667766938066945,0.4400759216120763
test_002,abmil,0.0,8,0.23113135249939787,0.13066620454039066,0.4775333240637493
test_002,abmil,0.0,9,0.19355827549210658,0.10714891760199753,0.27330613508141094
test_002,transmil,0.0,0,0.020363031245210307,0.010286245188691766,0.99249786459927
test_002,transmil,0.0,1,0.169385386788115,0.09252924431260914,0.9995761915837398
test_002,transmil,0.0,2,0.027851371767642488,0.014122349283890308,0.9905839978279627
test_002,transmil,0.0,3,0.001357535416347354,0.0006792287467134092,0.8071946127761647
test_002,transmil,0.0,4,0.022640187427470385,0.01144970545245161,0.9940396641914494
test_002,transmil,0.0,5,0.031179523110945677,0.015836651171066973,0.9956263855700141
test_002,transmil,0.0,6,0.0010072036959996498,0.0005038555906063792,0.9760392726036647
test_002,transmil,0.0,7,0.010378577215300737,0.0052163577937227625,0.9909948059088627
test_002,transmil,0.0,8,0.10768321254187559,0.05690548921595853,0.9985129690573267
test_002,transmil,0.0,9,0.04926539817389591,0.02525479279845553,0.9902908473005929
test_002,clam,0.0,0,0.1963609292548882,0.10886930342098235,0.26299192184927717
test_002,clam,0.0,1,0.20297344047645113,0.11294960522468077,0.2735598272829017
test_002,clam,0.0,2,0.19605438899958397,0.10868087585570714,0.23326647492992184
test_002,clam,0.0,3,0.21247618839088261,0.11886621426296577,0.33214810141278006
test_002,clam,0.0,4,0.2098924919533183,0.11725133323548119,0.313648824138357
test_002,clam,0.0,5,0.2016159050601038,0.11210947963084715,0.3269668093263405
test_002,clam,0.0,6,0.19855050250706138,0.11021707951479204,0.2935323625540611
test_002,clam,0.0,7,0.1963609292548882,0.10886930342098235,0.279848270325684
test_002,clam,0.0,8,0.21282652011123032,0.11908554066305653,0.35818651269417623
test_002,clam,0.0,9,0.19206936568062885,0.10623713213031367,0.13684061875818782
test_002,clam,0.05,0,0.1738959076875917,0.09522781774580336,0.5013920905354698
test_002,clam,0.05,1,0.21685533489522893,0.1216139885557111,0.4032902488703328
test_002,clam,0.05,2,0.20034595257384336,0.11132470313412497,0.46621044013056107
test_002,clam,0.05,3,0.19368964988723697,0.10722944142746314,0.38962903143367156
test_002,clam,0.05,4,0.19693021830045324,0.10921941030747559,0.39878529456404765
test_002,clam,0.05,5,0.19728055002080094,0.10943497060681144,0.4528186706325073
test_002,clam,0.05,6,0.21133761029975257,0.11815399681723589,0.4256503715692269
test_002,clam,0.05,7,0.2310875610343544,0.13063821359607863,0.5469649117045938
test_002,clam,0.05,8,0.1833548641369797,0.10093047922090445,0.4755890495476038
test_002,clam,0.05,9,0.183004532416632,0.10071821073941965,0.49048707855131096
test_004,mean,0.0,0,0.0,0.0,0.9999929492928289
test_004,mean,0.0,1,0.0,0.0,0.9999929492928289
test_004,mean,0.0,2,0.0,0.0,0.9999929492928289
test_004,mean,0.0,3,0.0,0.0,0.9999929492928289
test_004,mean,0.0,4,0.0,0.0,0.9999929492928289
test_004,mean,0.0,5,0.0,0.0,0.9999929492928289
test_004,mean,0.0,6,0.0,0.0,0.9999929492928289
test_004,mean,0.0,7,0.0,0.0,0.9999929492928289
test_004,mean,0.0,8,0.0,0.0,0.9999929492928289
test_004,mean,0.0,9,0.0,0.0,0.9999929492928289
test_004,max,0.0,0,0.0,0.0,0.9999929492928289
test_004,max,0.0,1,0.0,0.0,0.9999929492928289
test_004,max,0.0,2,0.0,0.0,0.9999929492928289
test_004,max,0.0,3,0.0,0.0,0.9999929492928289
test_004,max,0.0,4,0.0,0.0,0.9999929492928289
test_004,max,0.0,5,0.0,0.0,0.9999929492928289
test_004,max,0.0,6,0.0,0.0,0.9999929492928289
test_004,max,0.0,7,0.0,0.0,0.9999929492928289
test_004,max,0.0,8,0.0,0.0,0.9999929492928289
