slide,fold,lambda,dice,iou,entropy
test_001,0,0.0,0.49038753324646117,0.3248433250561665,0.4478629113196521
test_001,0,0.01,0.6205530069081238,0.449856362742307,0.44524149682852454
test_001,0,0.02,0.5761410899484122,0.4046335531429431,0.45225822506513336
test_001,0,0.05,0.7595723032434266,0.6123471003022017,0.5974222764630039
test_001,0,0.1,0.7599293122222024,0.6128112854469555,0.7288556057357113
test_001,0,0.15,0.855964727512897,0.7481978467779685,0.7100006678626143
test_001,0,0.2,0.7574659502686493,0.6096138374899437,0.8775108550304742
test_001,1,0.0,0.8053408543224863,0.6741176822161791,0.29975988442830936
test_001,1,0.01,0.8281537280662609,0.7067085059712406,0.6120975072040524
test_001,1,0.02,0.7176951500330233,0.5596915195723593,0.5245791494357607
test_001,1,0.05,0.8404705378340265,0.7248375873641429,0.5930492590740694
test_001,1,0.1,0.8017707645347281,0.66912969639186,0.6990145116593653
test_001,1,0.15,0.7867049856303886,0.6484037075180227,0.7776778615595105
test_001,1,0.2,0.7940593705931704,0.6584564374315403,0.9939375242823916
test_001,2,0.0,0.6185180557291016,0.4477206946454414,0.4177096964392088
test_001,2,0.01,0.6897770478927545,0.526457765667575,0.5296490195763341
test_001,2,0.02,0.7103764659681191,0.5508401849237328,0.5114726689187922
test_001,2,0.05,0.7671408935934739,0.6222453884690007,0.557771856633248
test_001,2,0.1,0.713803752164367,0.5549726593943431,0.7102555961162274
test_001,2,0.15,0.8207636422056015,0.6960128364263873,0.7714566425194371
test_001,2,0.2,0.8553935131468556,0.7473254109354044,0.7908936534174245
test_001,3,0.0,0.6485425108441477,0.4798837670056796,0.5059125608097493
test_001,3,0.01,0.7627139822566538,0.6164411230054534,0.5280392846462885
test_001,3,0.02,0.6861712572071188,0.5222684166191136,0.49270657822121366
test_001,3,0.05,0.7492547437568055,0.5990466404064623,0.5752138650900904
test_001,3,0.1,0.8245122364827475,0.7014213691307781,0.6656736506691988
test_001,3,0.15,0.8221202763249496,0.6979662352620253,0.7390074666658025
test_001,3,0.2,0.8685314435658057,0.7676142996876282,0.7794793846184352
test_001,4,0.0,0.7567162314132201,0.6086432160804021,0.4807012163795149
test_001,4,0.01,0.7699255636279252,0.6259178638804237,0.5251456629299132
test_001,4,0.02,0.7359026079505899,0.5821565747853592,0.5041092337472608
test_001,4,0.05,0.8216918655504186,0.6973488865323436,0.6088551490487452
test_001,4,0.1,0.793845165205905,0.6581619061713778,0.6910548533099897
test_001,4,0.15,0.8171221506220882,0.6907916578637612,0.7812810204275827
test_001,4,0.2,0.8122668285107371,0.6838798881841955,0.8338496842774443
test_001,5,0.0,0.6366898127487907,0.4670175714248304,0.44862806251871507
test_001,5,0.01,0.5897074311418932,0.41814545730703995,0.3406324321098897
test_001,5,0.02,0.7135181449813462,0.5546274455390593,0.4975499331643043
test_001,5,0.05,0.7266917762981739,0.5707116020860203,0.5565490804676428
test_001,5,0.1,0.7825993823744667,0.6428445747800586,0.7023409814808359
test_001,5,0.15,0.7686403313043323,0.624220811226117,0.7694425852906492
test_001,5,0.2,0.8002713268238696,0.6670435947031692,0.8277434704645648
test_001,6,0.0,0.7313685939201371,0.5765020402420149,0.4915289585198155
test_001,6,0.01,0.7842059227789578,0.6450154162384378,0.5330138808486474
test_001,6,0.02,0.7890255439924314,0.6515625,0.5511694854652053
test_001,6,0.05,0.845040252762357,0.7316620815430744,0.5808362676971965
test_001,6,0.1,0.7885614323200228,0.6509297733769487,0.700018439642634
test_001,6,0.15,0.8566073436746934,0.7491803790551722,0.7102766804078795
test_001,6,0.2,0.8530372538869353,0.7437357985495067,0.8280091663644493
test_001,7,0.0,0.699809000196355,0.5382355363958373,0.3641062674201595
test_001,7,0.01,0.8488959497331358,0.7374623949384362,0.5380640760753528
test_001,7,0.02,0.8086967387229789,0.6788336479966436,0.5506892258914482
test_001,7,0.05,0.8562503346959176,0.7486343914848457,0.6165898143286449
test_001,7,0.1,0.8446832437835812,0.7311269738265196,0.6330444690849613
test_001,7,0.15,0.8448617482729691,0.7313944863394733,0.7192780380651413
test_001,7,0.2,0.8621409828457186,0.7576869979919679,0.7883199604580712
test_001,8,0.0,0.8367933453526356,0.7193849364679885,0.5426376197354289
test_001,8,0.01,0.8220488745291944,0.6978633126231247,0.6116633060962843
test_001,8,0.02,0.6968458256725156,0.5347378225850639,0.46173772822947595
test_001,8,0.05,0.7562521197408115,0.6080429416154773,0.6200211982323742
test_001,8,0.1,0.8604987415433498,0.7551538316937152,0.6435713936309941
test_001,8,0.15,0.8257260670105853,0.7031801045847015,0.7747791660831118
test_001,8,0.2,0.7389728851680619,0.586008719778042,0.8363531338480311
test_001,9,0.0,0.5060245265168419,0.3387100628479939,0.3601092720240596
test_001,9,0.01,0.6518983952446404,0.48356770212653266,0.4570499404062095
test_001,9,0.02,0.7329751343246282,0.5785009861932939,0.5795652344362591
test_001,9,0.05,0.821656164652541,0.6972974610676846,0.634529727769103
test_001,9,0.1,0.8769211545670373,0.7808188696039163,0.6606997873432877
test_001,9,0.15,0.8781706859927527,0.7828024058810426,0.6900603963454311
test_001,9,0.2,0.8679602291997643,0.7667223816582043,0.8233307086221147
test_002,0,0.0,0.1963609292548882,0.10886930342098235,0.26299192184927717
test_002,0,0.01,0.18593856057454403,0.10249849124924562,0.28900701684719937
test_002,0,0.02,0.16237875238116092,0.08836355837285227,0.3555278493269762
test_002,0,0.05,0.1738959076875917,0.09522781774580336,0.5013920905354698
test_002,0,0.1,0.1826542006962843,0.10050602409638554,0.8380703388779809
test_002,0,0.15,0.21098727857940489,0.11793503537071941,0.8322662674802898
test_002,0,0.2,0.15870026931751002,0.08618926439460603,0.9738034479677725
test_002,1,0.0,0.20297344047645113,0.11294960522468077,0.2735598272829017
test_002,1,0.01,0.21720566661557664,0.1218343936528211,0.6420792338292257
test_002,1,0.02,0.1885660484771518,0.1040976671098755,0.3354289094468294
test_002,1,0.05,0.21685533489522893,0.1216139885557111,0.4032902488703328
test_002,1,0.1,0.18282936655645815,0.10061210719105455,0.6540885822597695
test_002,1,0.15,0.1883470911519345,0.10396422528402224,0.8795140531931263
test_002,1,0.2,0.20866633093210132,0.11648657898596783,0.999187016598986
test_002,2,0.0,0.19605438899958397,0.10868087585570714,0.23326647492992184
test_002,2,0.01,0.20428718442775504,0.11376383943813101,0.3342747120250155
test_002,2,0.02,0.20835979067679708,0.11629555398039743,0.38189279894994743
test_002,2,0.05,0.20034595257384336,0.11132470313412497,0.46621044013056107
test_002,2,0.1,0.1685533489522892,0.09203290134379034,0.778690801144671
test_002,2,0.15,0.1778809310065468,0.09762311038477252,0.9012184502583216
test_002,2,0.2,0.20104661601453877,0.11175754625121714,0.8859725809357115
test_002,3,0.0,0.21247618839088261,0.11886621426296577,0.33214810141278006
test_002,3,0.01,0.1821724945808062,0.10021440100214402,0.2950618555634839
test_002,3,0.02,0.2172494580806201,0.12186195038074184,0.3748139752872498
test_002,3,0.05,0.19368964988723697,0.10722944142746314,0.38962903143367156
test_002,3,0.1,0.20722121258566706,0.11558660446029459,0.576984640473949
test_002,3,0.15,0.1964923036500186,0.1089500777000777,0.7344708762817349
test_002,3,0.2,0.19574784874427975,0.10849251231766219,0.8840035828811131
test_002,4,0.0,0.2098924919533183,0.11725133323548119,0.313648824138357
test_002,4,0.01,0.1936458584221935,0.10720259885088124,0.33963720888491494
test_002,4,0.02,0.1755161918941998,0.09620046564097641,0.2912922609667625
test_002,4,0.05,0.19693021830045324,0.10921941030747559,0.39878529456404765
test_002,4,0.1,0.19456547918810624,0.10776656641117686,0.667702201366262
test_002,4,0.15,0.19263865472619388,0.10658557860050398,0.8537575343992686
test_002,4,0.2,0.1783626371220249,0.09791336121928938,0.9476962743450542
