slide,fold,lambda,dice,iou,entropy
test_001,0,0.0,0.5862444440477678,0.4146717171717172,0.42939473489810587
test_001,0,0.05,0.7043430142268078,0.5436184283037584,0.5847325207692791
test_001,0,0.1,0.8080184216633048,0.6778782796214209,0.7200431047015373
test_001,1,0.0,0.7640706163760018,0.6182154308327796,0.9887041099437351
test_001,1,0.05,0.8426839935024366,0.7281364716044051,0.623585063647822
test_001,1,0.1,0.8238339194230735,0.7004401274852026,0.9970779562363428
test_001,2,0.0,0.6788882740400921,0.5138765031752466,0.4653153773596535
test_001,2,0.05,0.7564306242301994,0.6082737633852956,0.5825186701457975
test_001,2,0.1,0.768069116938291,0.6234677022053496,0.6799861075685844
test_001,3,0.0,0.6975241427321898,0.5355370994709865,0.4987204496016699
test_001,3,0.05,0.809624962067796,0.680142758600006,0.6022207004423331
test_001,3,0.1,0.7911675978650863,0.6544890726520969,0.6931367297977551
test_001,4,0.0,0.6547187661769693,0.48667798949100366,0.459005198393839
test_001,4,0.05,0.8034130058370968,0.6714204731927081,0.5910261818274622
test_001,4,0.1,0.7962014244658253,0.6614075150508615,0.6990174995402679
test_001,5,0.0,0.6896342443012442,0.526291412380122,0.4279794941022851
test_001,5,0.05,0.7116973991895896,0.5524303053815884,0.5647287708766938
test_001,5,0.1,0.636832616340301,0.4671712542230836,0.7789628758480676
test_001,6,0.0,0.7131254351046928,0.5541530266881207,0.45425474963428536
test_001,6,0.05,0.8468609985541137,0.7343962848297214,0.5956243614112068
test_001,6,0.1,0.8604987415433498,0.7551538316937152,0.6751615255375798
test_001,7,0.0,0.822084575427072,0.6979147723828575,0.5474578045077466
test_001,7,0.05,0.8599632280751861,0.754329377133373,0.6257713468418439
test_001,7,0.1,0.8284750361471591,0.707176596068871,0.6456546794965438
test_001,8,0.0,0.7887042359115332,0.6511244068495977,0.4436742687324515
test_001,8,0.05,0.8516806197675871,0.7416757344940152,0.5872147169228796
test_001,8,0.1,0.8254761607254423,0.7028177148241588,0.695063969355034
test_001,9,0.0,0.7893468520733297,0.6520008256907788,0.5465673032485535
test_001,9,0.05,0.851609217971832,0.741567444896944,0.6749270050742825
test_001,9,0.1,0.8413630602809661,0.7261662660997104,0.656221179370758
test_002,0,0.0,0.19855050250706138,0.11021707951479204,0.2560324665206723
test_002,0,0.05,0.1871209301307175,0.10321754674138847,0.5301737660422094
test_002,0,0.1,0.16929780385802806,0.0924769764382251,0.7821003316194376
test_002,1,0.0,0.21501609336340347,0.12045828120016683,0.993999157322645
test_002,1,0.05,0.20700225526044974,0.11545037123876514,0.42076631380891943
test_002,1,0.1,0.2283724902016597,0.12890547755586315,0.998920245204162
test_002,2,0.0,0.20853495653697093,0.1164047031215625,0.3564053141961741
test_002,2,0.05,0.19351448402706312,0.10712207892950645,0.47894538026552086
test_002,2,0.1,0.18256661776619737,0.10045299021733892,0.7565246037005167
test_002,3,0.0,0.19631713778984475,0.10884238127609984,0.27795156654647235
test_002,3,0.05,0.20214140264062533,0.1124345390330045,0.4033725043035114
test_002,3,0.1,0.20630159181975433,0.1150146484375,0.5319515429790864
test_002,4,0.0,0.19579164020932321,0.10851941747572816,0.2737354030364459
test_002,4,0.05,0.19114974491471612,0.10567472037960587,0.4143553016167982
test_002,4,0.1,0.19338310963193273,0.10704157071870077,0.6657244286629717
test_002,5,0.0,0.18764642771123907,0.10353742811578795,0.1855499077497016
test_002,5,0.05,0.17915088349280725,0.09838864838864839,0.5663948536050644
test_002,5,0.1,0.14455562610847145,0.07790889780505074,0.9234002654734182
test_002,6,0.0,0.20354272952201616,0.11330229383516564,0.35406275892776434
test_002,6,0.05,0.21133761029975257,0.11815399681723589,0.4136856138062499
test_002,6,0.1,0.2051630137286243,0.11430732445225199,0.5469472520342704
test_002,7,0.0,0.22272339121105297,0.12531723543180978,0.38549048769336375
test_002,7,0.05,0.2274090779707035,0.1282919116557142,0.5374413274314893
test_002,7,0.1,0.203148606336625,0.11305810099434588,0.5443488522920492
test_002,8,0.0,0.20389306124236387,0.11351944410581495,0.32369049898957664
test_002,8,0.05,0.22780320115609468,0.12854283525661617,0.5253861742310441
test_002,8,0.1,0.18331107267193625,0.10090394118356032,0.778502946401605
test_002,9,0.0,0.19631713778984475,0.10884238127609984,0.3390769558439025
test_002,9,0.05,0.19268244619123734,0.10661239126747594,0.45963977348142165
test_002,9,0.1,0.19938254034288716,0.1107300938761613,0.7429365359295234
test_004,0,0.0,0.0019491677566617937,0.00097553461864298,0.21649966605486412
test_004,0,0.05,0.004513862173322049,0.0022620363468113,0.9707164702401785
test_004,0,0.1,0.0,0.0,0.9925556163122462
test_004,1,0.0,0.0,0.0,0.9963821225980076
test_004,1,0.05,0.0031802210766587163,0.0015926430167741271,0.93483461212144
test_004,1,0.1,0.0,0.0,0.9994134609299627
test_004,2,0.0,0.003282808853325126,0.001644103064710869,0.6550737134392537
test_004,2,0.05,0.003693159959990767,0.0018499961458413629,0.9759254060664484
test_004,2,0.1,0.00041035110666564077,0.0002052176589795552,0.9920466343740325
test_004,3,0.0,0.004513862173322049,0.0022620363468113,0.6011388714076803
test_004,3,0.05,0.004513862173322049,0.0022620363468113,0.9560186177507737
test_004,3,0.1,0.0,0.0,0.9465612319110858
test_004,4,0.0,0.0015901105383293581,0.0007956878850102669,0.4866778219777552
test_004,4,0.05,0.0027698699699930753,0.0013868556899607057,0.985995781768915
test_004,4,0.1,0.0019491677566617937,0.00097553461864298,0.9827690180208034
test_004,5,0.0,0.0038983355133235874,0.0019529744314531671,0.17362376767824175
test_004,5,0.05,0.0015901105383293581,0.0007956878850102669,0.9790434541628831
test_004,5,0.1,0.0,0.0,0.9938464093971116
test_004,6,0.0,0.004206098843322818,0.002107481559536354,0.790890162609993
test_004,6,0.05,0.0037444538483239723,0.001875738732720078,0.9748727363878241
test_004,6,0.1,0.0028211638583262805,0.0014125744811999178,0.9535939193240975
test_004,7,0.0,0.0029237516349926904,0.0014640160271228231,0.9405889874005342
test_004,7,0.05,0.0,0.0,0.9626398717106112
test_004,7,0.1,0.0033341027416583313,0.0016698350716744593,0.9853177595827767
test_004,8,0.0,0.0037957477366571775,0.001901482642546959,0.8225595903018208
test_004,8,0.05,0.0013336410966633325,0.0006672654946747081,0.9945850846255752
test_004,8,0.1,0.00041035110666564077,0.0002052176589795552,0.9877823094668652
test_004,9,0.0,0.004154804954989613,0.0020817270624518117,0.51471770154834
test_004,9,0.05,0.0033341027416583313,0.0016698350716744593,0.7334795947035071
test_004,9,0.1,0.0037444538483239723,0.001875738732720078,0.9964688323624872
test_008,0,0.0,0.015600255276904531,0.007861447935774353,0.2181070217816335
test_008,0,0.05,0.01517479376935259,0.007645405611394275,0.911596053998168
test_008,0,0.1,0.02193490438934455,0.011089071051310852,0.9768207403203536
test_008,1,0.0,0.01181837520977616,0.005944313669543714,0.9950149697686826
test_008,1,0.05,0.026284066466542178,0.013317046298292256,0.7246885909949742
test_008,1,0.1,0.02425130593046068,0.012274489161123607,0.9990660380050163
test_008,2,0.0,0.017396648308790508,0.008774648894823434,0.5347332398693728
test_008,2,0.05,0.024629493937173518,0.012468290815105539,0.9236137921846647
test_008,2,0.1,0.02425130593046068,0.012274489161123607,0.9821430429162266
test_008,3,0.0,0.024818587940529935,0.01256521947250012,0.3408822213578328
test_008,3,0.05,0.026284066466542178,0.013317046298292256,0.7598772966642563
test_008,3,0.1,0.025858604958990238,0.013098659003831418,0.8735683632720564
test_008,4,0.0,0.012716571725719147,0.006398972358342452,0.3696217645772428
test_008,4,0.05,0.026473160469898598,0.013414137542817449,0.8848140400508241
test_008,4,0.1,0.026473160469898598,0.013414137542817449,0.943341063786627
test_008,5,0.0,0.015600255276904531,0.007861447935774353,0.29858581429768316
test_008,5,0.05,0.021367622379275298,0.010799187671723809,0.9574441390749623
test_008,5,0.1,0.012527477722362729,0.006303220588934875,0.9907477199928272
test_008,6,0.0,0.01999669085494126,0.010099321936777768,0.5976955700853729
test_008,6,0.05,0.02425130593046068,0.012274489161123607,0.8905010810984276
test_008,6,0.1,0.02425130593046068,0.012274489161123607,0.9073296732938283
test_008,7,0.0,0.02425130593046068,0.012274489161123607,0.8150965255774982
test_008,7,0.05,0.02538586995059919,0.012856116830260953,0.8620329054597842
test_008,7,0.1,0.024629493937173518,0.012468290815105539,0.9368675673343162
test_008,8,0.0,0.01999669085494126,0.010099321936777768,0.7063352128253391
test_008,8,0.05,0.02425130593046068,0.012274489161123607,0.9725698942693565
test_008,8,0.1,0.02732408348500248,0.013851278487382875,0.946978453981504
test_008,9,0.0,0.02477131443969083,0.012540985568293325,0.41445743565525683
test_008,9,0.05,0.02538586995059919,0.012856116830260953,0.6118151577325058
test_008,9,0.1,0.02538586995059919,0.012856116830260953,0.9857693524492789
test_010,0,0.0,0.004629883294066078,0.0023203130363149585,0.1780019520933887
test_010,0,0.05,0.0037258232425620512,0.0018663885381786244,0.9882699659066414
test_010,0,0.1,0.001917703139553997,0.0009597718485205803,0.9882541386004638
test_010,1,0.0,0.0009588515697769985,0.0004796557442201483,0.9954323835660768
test_010,1,0.05,0.00468467481233905,0.002347836832205182,0.7577380525589851
test_010,1,0.1,0.003698427483425566,0.0018526396684461156,0.9993449957648219
test_010,2,0.0,0.004629883294066078,0.0023203130363149585,0.8315633479401991
test_010,2,0.05,0.0037258232425620512,0.0018663885381786244,0.9848306412184317
test_010,2,0.1,0.001917703139553997,0.0009597718485205803,0.9842542209386103
test_010,3,0.0,0.0019450988986904826,0.0009734962225604321,0.7346615848729732
test_010,3,0.05,0.004629883294066078,0.0023203130363149585,0.944401676653435
test_010,3,0.1,0.001917703139553997,0.0009597718485205803,0.9170712885693327
test_010,4,0.0,0.0009862473289134841,0.0004933669553776998,0.4431293955072575
test_010,4,0.05,0.001917703139553997,0.0009597718485205803,0.9924676738398882
test_010,4,0.1,0.001917703139553997,0.0009597718485205803,0.9891791680628026
test_010,5,0.0,0.003698427483425566,0.0018526396684461156,0.48265839902066765
test_010,5,0.05,0.004629883294066078,0.0023203130363149585,0.9932289162112024
test_010,5,0.1,0.0009314558106405128,0.00046594490886665754,0.9953368070590949
test_010,6,0.0,0.003753219001698537,0.0018801377852800307,0.632771616512671
test_010,6,0.05,0.00468467481233905,0.002347836832205182,0.8844357916778186
test_010,6,0.1,0.00468467481233905,0.002347836832205182,0.9156537746057402
test_010,7,0.0,0.003698427483425566,0.0018526396684461156,0.9822122942183997
test_010,7,0.05,0.003698427483425566,0.0018526396684461156,0.9812440715269442
test_010,7,0.1,0.0037258232425620512,0.0018663885381786244,0.9613350562536727
test_010,8,0.0,0.00468467481233905,0.002347836832205182,0.9369273078948226
test_010,8,0.05,0.00468467481233905,0.002347836832205182,0.9942605502390209
test_010,8,0.1,0.001917703139553997,0.0009597718485205803,0.9621213159799127
test_010,9,0.0,0.004629883294066078,0.0023203130363149585,0.3746148506022704
test_010,9,0.05,0.004629883294066078,0.0023203130363149585,0.6439350750621403
test_010,9,0.1,0.003698427483425566,0.0018526396684461156,0.9979195170923141
test_011,0,0.0,0.0,0.0,0.43190876410382917
test_011,0,0.05,0.0,0.0,0.9279856228732152
test_011,0,0.1,0.0014052070728756002,0.0007030975352525292,0.9942515365600934
test_011,1,0.0,0.0,0.0,0.993688951143201
test_011,1,0.05,0.0,0.0,0.9340764065565691
test_011,1,0.1,0.0,0.0,0.9988901344147281
test_011,2,0.0,0.0,0.0,0.679490804552134
test_011,2,0.05,0.0,0.0,0.9274630660241164
test_011,2,0.1,0.0,0.0,0.9878080873915234
test_011,3,0.0,0.0,0.0,0.6102843439647969
test_011,3,0.05,0.0,0.0,0.9516057560731171
test_011,3,0.1,0.0,0.0,0.9636046068308016
test_011,4,0.0,0.0,0.0,0.6134566654747504
test_011,4,0.05,0.0,0.0,0.9565998375161603
test_011,4,0.1,0.0,0.0,0.988528256537948
test_011,5,0.0,0.0,0.0,0.3518898742027937
test_011,5,0.05,0.0,0.0,0.9608954319536669
test_011,5,0.1,0.0,0.0,0.9910148587751958
test_011,6,0.0,0.0,0.0,0.7233113314841566
test_011,6,0.05,0.0,0.0,0.9807397094619685
test_011,6,0.1,0.0,0.0,0.98899514147092
test_011,7,0.0,0.0,0.0,0.8349996624748324
